EukProt_ID	Data_Source_Type	Lineage_to_Display	Genus_UniEuk	Epithet_UniEuk
EP00835	single-cell genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Amoeboradix	gromovi
EP00839	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Anaeromyces	robustus
EP00840	single-cell genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Blyttiomyces	helicus
EP00841	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Caulochytrium	protostelioides
EP00842	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Homolaphlyctis	polyrhiza
EP00843	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Neocallimastix	californiae
EP00844	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Piromyces	finnis
EP00845	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Rhizoclosmatium	globosum
EP00846	single-cell genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Dimargaris	cristalligena
EP00847	single-cell genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Piptocephalis	cylindrospora
EP00848	single-cell genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Thamnocephalis	sphaerospora
EP00849	single-cell genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Syncephalis	pseudoplumigaleata
EP00855	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Neolecta	irregularis
EP00856	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Taphrina 	deformans
EP00857	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Cystobasidium	minutum
EP00858	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Microbotryum	lychnidis-dioicae
EP00859	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Malassezia	sympodialis
EP00860	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Wallemia	mellicola
EP00861	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Lobosporangium	transversale
EP00862	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Endogone	N/A
EP00863	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Basidiobolus	meristosporus
EP00864	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Zancudomyces	culisetae
EP00865	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Coemansia	reversa
EP00866	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Antonospora	locustae
EP00867	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Encephalitozoon	hellem
EP00868	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Enterocytozoon	bieneusi
EP00869	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Nematocida	parisii
EP00870	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi	Mitosporidium	daphniae
EP00159	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Rotosphaerida	Fonticula	alba
EP00160	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Rotosphaerida	Parvularia	atlantis
EP00732	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Rotosphaerida	Lithocolla	globosa
EP00733	single-cell transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Rotosphaerida	Pompholyxophrys	punicea
EP00734	single-cell genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Rotosphaerida	Pompholyxophrys	N/A
EP00161	transcriptome	Eukaryota;Ancyromonadida	Ancyromonas	sigmoides
EP00162	transcriptome	Eukaryota;Ancyromonadida	Nutomonas	longa
EP00163	transcriptome	Eukaryota;Ancyromonadida	Fabomonas	tropica
EP00001	transcriptome	Eukaryota;CRuMs;CR clade;Collodictyonidae	Collodictyon	"triciliatum"
EP00002	transcriptome	Eukaryota;CRuMs;CR clade;Collodictyonidae	Diphylleia	rotans
EP00004	transcriptome	Eukaryota;CRuMs;CR clade;Rigifilida	Rigifila	ramosa
EP00003	transcriptome	Eukaryota;CRuMs;Mantamonas	Mantamonas	plastica
EP00191	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Tetraselmis	N/A
EP00192	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Tetraselmis	astigmatica
EP00193	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Tetraselmis	chui
EP00195	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Chlamydomonas	chlamydogama
EP00197	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Chlamydomonas	leiostraca
EP00198	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Chlamydomonas	reinhardtii
EP00199	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Chlamydomonas	N/A
EP00200	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Dunaliella	tertiolecta
EP00201	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Polytomella	parva
EP00202	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Volvox	carteri
EP00203	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Chlorella	variabilis
EP00204	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Picochlorum	oklahomense
EP00205	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Picochlorum	N/A
EP00206	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Coccomyxa	subellipsoidea
EP00207	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Helicosporidium	N/A
EP00208	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Stichococcus	N/A
EP00209	EST	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Acetabularia	acetabulum
EP00210	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Caulerpa	lentillifera
EP00211	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Chloroparvula	japonica
EP00212	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Chloropicon	laureae
EP00213	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Chloropicon	mariensis
EP00215	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Chloropicon	roscoffensis
EP00216	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Chloropicon	N/A
EP00217	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Crustomastix	stigmatica
EP00218	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Dolichomastix	N/A
EP00222	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Ostreococcus	lucimarinus
EP00223	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Ostreococcus	mediterraneus
EP00224	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Ostreococcus	tauri
EP00227	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Mantoniella	beaufortii
EP00228	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Micromonas	bravo
EP00229	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Micromonas	commoda
EP00230	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Micromonas	polaris
EP00231	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Micromonas	pusilla
EP00232	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Nephroselmis	pyriformis
EP00236	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Picocystis	salinarum
EP00237	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Pycnococcus	provasolii
EP00238	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	"Polyblepharides"	amylifera
EP00239	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Pterosperma	N/A
EP00240	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Pyramimonas	obovata
EP00241	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Pyramimonas	parkeae
EP00242	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Pyramimonas	N/A
EP00738	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Chloropicon	primus
EP00740	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Mantoniella	antarctica
EP00775	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Hariotina	reticulata
EP00798	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Chlamydomonas	N/A
EP00799	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Chlamydomonas	eustigma
EP00803	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Ostreobium 	quekettii 
EP00851	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Chlamydomonas	incerta
EP00852	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Chlamydomonas	schloesseri
EP00853	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Edaphochlamys	debaryana
EP00854	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Cymbomonas	tetramitiformis
EP00873	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Tetraselmis	striata
EP00874	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Dunaliella	salina
EP00875	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Gonium	pectorale
EP00876	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Tetrabaena	socialis
EP00877	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Chromochloris	zofingiensis
EP00878	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Enallax	costatus
EP00879	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Flechtneria	rotunda
EP00880	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Monoraphidium	neglectum
EP00881	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Raphidocelis	subcapitata
EP00882	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Tetradesmus	deserticola
EP00883	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Tetradesmus	obliquus
EP00884	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Botryococcus	braunii
EP00885	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Auxenochlorella	protothecoides
EP00886	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Chlorella	sorokiniana
EP00887	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Chlorella	N/A
EP00888	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Micractinium	conductrix
EP00889	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Picochlorum	renovo
EP00890	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Picochlorum	soloecismus
EP00891	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Asterochloris	glomerata
EP00892	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Ulva	mutabilis
EP00893	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Bathycoccus	prasinos
EP00894	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Picocystis	N/A
EP00951	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Prasinocladus	malaysianus
EP00955	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Chlamydomonas	euryale
EP00959	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Pyramimonas	N/A
EP01023	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Acetabularia	acetabulum
EP01024	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Parvocaulis	polyphysoides
EP01025	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Chloroclados	australasicus
EP01026	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Chlorophyta	Neomeris	dumetosa
EP00235	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Palmophyllophyceae	Prasinoderma	singulare
EP00793	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Palmophyllophyceae	Prasinoderma	coloniale
EP00958	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Palmophyllophyceae	Prasinococcus	capsulatus
EP00243	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Klebsormidium	subtile
EP00244	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Chara	vulgaris
EP00245	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Coleochaete	scutata
EP00246	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Nothoceros	aenigmaticus
EP00247	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Physcomitrium	patens
EP00248	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Marchantia	polymorpha
EP00249	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Psilotum	nudum
EP00250	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Pteridium	aquilinum
EP00252	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Welwitschia	mirabilis
EP00253	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Pinus	taeda
EP00254	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Amborella	trichopoda
EP00255	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Erythranthe	guttata
EP00256	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Glycine	max
EP00257	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Ricinus	communis
EP00258	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Populus	trichocarpa
EP00259	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Arabidopsis	lyrata
EP00260	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Arabidopsis	thaliana
EP00261	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Vitis	vinifera
EP00262	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Sarcandra	glabra
EP00263	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Brachypodium	distachyon
EP00264	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Hordeum	vulgare
EP00265	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Oryza	sativa
EP00266	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Sorghum	bicolor
EP00267	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Zea	mays
EP00268	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Persea	americana
EP00269	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Selaginella	moellendorffii
EP00270	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Netrium	digitus
EP00271	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Cylindrocystis	brebissonii
EP00850	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Spirogloea	muscicola
EP00895	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Klebsormidium	nitens
EP00896	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Chara	braunii
EP00897	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Mesotaenium	endlicherianum
EP00898	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Chlorokybus	atmophyticus
EP00899	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Mesostigma	viride
EP01018	genome	Eukaryota;Diaphoretickes;Archaeplastida;Chloroplastida;Streptophyta	Ginkgo	biloba
EP00274	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Glaucophyta	Cyanoptyche	gloeocystis
EP00275	EST	Eukaryota;Diaphoretickes;Archaeplastida;Glaucophyta	Glaucocystis	incrassata
EP00276	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;Glaucophyta	Gloeochaete	wittrockiana
EP00741	genome	Eukaryota;Diaphoretickes;Archaeplastida;Glaucophyta	Cyanophora	paradoxa
EP00329	single-cell genome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Picozoa	N/A	N/A
EP01043	single-cell genome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Picozoa	Picomonas	N/A
EP01044	single-cell genome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Picozoa	Picomonas	judraskeda
EP01045	single-cell genome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Picozoa	N/A	N/A
EP01046	single-cell genome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Picozoa	Picomonas	N/A
EP01047	single-cell genome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Picozoa	N/A	N/A
EP01048	single-cell genome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Picozoa	N/A	N/A
EP01049	single-cell genome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Picozoa	N/A	N/A
EP01050	single-cell genome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Picozoa	N/A	N/A
EP01051	single-cell genome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Picozoa	N/A	N/A
EP01052	single-cell genome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Picozoa	N/A	N/A
EP00735	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodelphis	Rhodelphis	limneticus
EP00736	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodelphis	Rhodelphis	marinus
EP00165	genome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Cyanidiales	Cyanidioschyzon	merolae
EP00166	genome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Cyanidiales	Cyanidium	caldarium
EP00167	genome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Cyanidiales	Galdieria	sulphuraria
EP00871	genome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Cyanidiales	Galdieria	phlegrea
EP00168	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Eurhodophytina	Porphyra	purpurea
EP00169	genome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Eurhodophytina	Porphyra	umbilicalis
EP00170	genome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Eurhodophytina	Pyropia	yezoensis
EP00171	genome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Eurhodophytina	Calliarthron	tuberculosum
EP00172	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Eurhodophytina	Hildenbrandia	rubra
EP00173	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Eurhodophytina	Palmaria	palmata
EP00174	EST	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Eurhodophytina	Griffithsia	okiensis
EP00175	EST	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Eurhodophytina	Furcellaria	lumbricalis
EP00176	genome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Eurhodophytina	Chondrus	crispus
EP00177	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Eurhodophytina	Eucheuma	denticulatum
EP00178	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Eurhodophytina	Gracilaria	changii
EP00737	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Eurhodophytina	Agarophyton	chilense
EP00872	genome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Eurhodophytina	Gracilariopsis	chorda
EP00179	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Proteorhodophytina	Madagascaria	erythrocladioides
EP00180	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Proteorhodophytina	Rhodochaete	pulchella
EP00181	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Proteorhodophytina	Compsopogon	caeruleus
EP00182	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Proteorhodophytina	Erythrolobus	australicus
EP00183	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Proteorhodophytina	Erythrolobus	madagascarensis
EP00184	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Proteorhodophytina	Porphyridium	aerugineum
EP00185	genome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Proteorhodophytina	Porphyridium	purpureum
EP00186	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Proteorhodophytina	Timspurckia	oligopyrenoides
EP00187	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Proteorhodophytina	Rhodella	violacea
EP00188	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Proteorhodophytina	Purpureofilum	apyrenoidigerum
EP00189	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Proteorhodophytina	Rhodosorus	marinus
EP00190	transcriptome	Eukaryota;Diaphoretickes;Archaeplastida;PRR clade;Rhodophyta;Proteorhodophytina	Bangiopsis	N/A
EP00277	transcriptome	Eukaryota;Diaphoretickes;Cryptista;CK clade;Cryptophyceae;Cryptomonadales	Geminigera	cryophila
EP00279	genome	Eukaryota;Diaphoretickes;Cryptista;CK clade;Cryptophyceae;Cryptomonadales	Guillardia	theta
EP00281	transcriptome	Eukaryota;Diaphoretickes;Cryptista;CK clade;Cryptophyceae;Cryptomonadales	"Chroomonas"	N/A
EP00282	transcriptome	Eukaryota;Diaphoretickes;Cryptista;CK clade;Cryptophyceae;Cryptomonadales	Hemiselmis	andersenii
EP00283	transcriptome	Eukaryota;Diaphoretickes;Cryptista;CK clade;Cryptophyceae;Cryptomonadales	Hemiselmis	rufescens
EP00284	transcriptome	Eukaryota;Diaphoretickes;Cryptista;CK clade;Cryptophyceae;Cryptomonadales	Hemiselmis	tepida
EP00285	transcriptome	Eukaryota;Diaphoretickes;Cryptista;CK clade;Cryptophyceae;Cryptomonadales	Hemiselmis	virescens
EP00286	transcriptome	Eukaryota;Diaphoretickes;Cryptista;CK clade;Cryptophyceae;Cryptomonadales	"Rhodomonas"	abbreviata
EP00287	transcriptome	Eukaryota;Diaphoretickes;Cryptista;CK clade;Cryptophyceae;Cryptomonadales	"Rhodomonas"	N/A
EP00288	transcriptome	Eukaryota;Diaphoretickes;Cryptista;CK clade;Cryptophyceae;Cryptomonadales	"Rhodomonas"	lens
EP00290	transcriptome	Eukaryota;Diaphoretickes;Cryptista;CK clade;Cryptophyceae;Cryptomonadales	Baffinella	frigidus
EP00291	transcriptome	Eukaryota;Diaphoretickes;Cryptista;CK clade;Cryptophyceae;Cryptomonadales	Cryptomonas	curvata
EP00292	transcriptome	Eukaryota;Diaphoretickes;Cryptista;CK clade;Cryptophyceae;Cryptomonadales	Cryptomonas	paramecium
EP00293	transcriptome	Eukaryota;Diaphoretickes;Cryptista;CK clade;Cryptophyceae;Cryptomonadales	Proteomonas	sulcata
EP00802	transcriptome	Eukaryota;Diaphoretickes;Cryptista;CK clade;Cryptophyceae;Cryptomonadales	Teleaulax	amphioxeia
EP00960	genome	Eukaryota;Diaphoretickes;Cryptista;CK clade;Cryptophyceae;Cryptomonadales	Hanusia	phi
EP00961	genome	Eukaryota;Diaphoretickes;Cryptista;CK clade;Cryptophyceae;Cryptomonadales	"Rhodomonas"	salina
EP00294	transcriptome	Eukaryota;Diaphoretickes;Cryptista;CK clade;Cryptophyceae;Goniomonas	Goniomonas	avonlea
EP00295	transcriptome	Eukaryota;Diaphoretickes;Cryptista;CK clade;Cryptophyceae;Goniomonas	Goniomonas	pacifica
EP00296	transcriptome	Eukaryota;Diaphoretickes;Cryptista;CK clade;Kathablepharidacea	Roombia	truncata
